"Apertium individual as object in a triple,""Property to use with lexical entry as subject",,,,
"(not necessarily pos)"",""Lexinfo individual OR Apertium individual OR blank node",,,,
"as object"",Abbreviation for URI,Comments",,,,
apertium:indizl,lexinfo:morphosyntacticProperty,apertium:indizl,,
apertium:INE,lexinfo:morphosyntacticProperty,apertium:INE,,
apertium:INE,lexinfo:case,lexinfo:inessiveCase,,
apertium:inf,lexinfo:verbFormMood,lexinfo:infinitive,,
apertium:Inf,lexinfo:verbFormMood,lexinfo:infinitive,,
apertium:infl,lexinfo:morphosyntacticProperty,apertium:infl,,
apertium:infm,lexinfo:morphosyntacticProperty,apertium:infm,,
apertium:infps,lexinfo:morphosyntacticProperty,apertium:infps,,
apertium:infps,lexinfo:verbFormMood,lexinfo:infinitive,,
apertium:ins,lexinfo:case,lexinfo:instrumentalCase,,
apertium:INS,lexinfo:morphosyntacticProperty,apertium:INS,,
apertium:inst,lexinfo:morphosyntacticProperty,apertium:inst,,
apertium:interj,lexinfo:partOfSpeech,lexinfo:interjection,intj,
apertium:Interr,lexinfo:morphosyntacticProperty,apertium:Interr,,
apertium:invariant,lexinfo:morphosyntacticProperty,apertium:invariant,,
apertium:IOR,lexinfo:morphosyntacticProperty,apertium:IOR,,
apertium:itg,lexinfo:partOfSpeech,lexinfo:interrogativePronoun,pron,
apertium:ITJ,lexinfo:morphosyntacticProperty,apertium:ITJ,,
apertium:ito,lexinfo:verbFormMood,lexinfo:infinitive,,
apertium:iv,synsem:synBehavior,[a lexinfo:IntransitiveFrame],,
apertium:IV,synsem:synBehavior,[a lexinfo:IntransitiveFrame],,
apertium:IZB,lexinfo:morphosyntacticProperty,apertium:IZB,,
apertium:IZE,lexinfo:morphosyntacticProperty,apertium:IZE,,
apertium:izen,lexinfo:morphosyntacticProperty,apertium:izen,,
apertium:IZGGAL,lexinfo:morphosyntacticProperty,apertium:IZGGAL,,
apertium:IZGMGB,lexinfo:morphosyntacticProperty,apertium:IZGMGB,,
apertium:izl,lexinfo:morphosyntacticProperty,apertium:izl,,
apertium:IZL,lexinfo:morphosyntacticProperty,apertium:IZL,,
apertium:izo,lexinfo:morphosyntacticProperty,apertium:izo,,
apertium:IZO,lexinfo:morphosyntacticProperty,apertium:IZO,,
apertium:JNT,lexinfo:morphosyntacticProperty,apertium:JNT,,
apertium:kah,lexinfo:morphosyntacticProperty,apertium:kah,,
apertium:kan,lexinfo:morphosyntacticProperty,apertium:kan,,
apertium:KAUS,lexinfo:morphosyntacticProperty,apertium:KAUS,,
apertium:ke,lexinfo:morphosyntacticProperty,apertium:ke,,
apertium:ke-an,lexinfo:morphosyntacticProperty,apertium:ke-an,,
apertium:ko,lexinfo:morphosyntacticProperty,apertium:ko,,
apertium:KONP,lexinfo:morphosyntacticProperty,apertium:KONP,,
apertium:KONT,lexinfo:morphosyntacticProperty,apertium:KONT,,
apertium:LAB,lexinfo:morphosyntacticProperty,apertium:LAB,,
apertium:lcit,lexinfo:morphosyntacticProperty,apertium:lcit,,
apertium:lemq-obj,lexinfo:morphosyntacticProperty,apertium:lemq-obj,,
apertium:LIB,lexinfo:morphosyntacticProperty,apertium:LIB,,
apertium:loc,lexinfo:morphosyntacticProperty,apertium:loc,,
apertium:loc,lexinfo:case,lexinfo:locativeCase,,ONLY IN ENTRY IN KAZAKH
apertium:Loc,lexinfo:case,lexinfo:locativeCase,,
apertium:LOK,lexinfo:morphosyntacticProperty,apertium:LOK,,
apertium:LOT,lexinfo:morphosyntacticProperty,apertium:LOT,,
apertium:lp,lexinfo:morphosyntacticProperty,apertium:lp,,
apertium:lp,lexinfo:verbFormMood,lexinfo:particle,,
apertium:lpar,lexinfo:partOfSpeech,lexinfo:openParenthesis,punct,
apertium:lquest,lexinfo:morphosyntacticProperty,apertium:lquest,,
apertium:lquest,lexinfo:partOfSpeech,lexinfo:questionMark,punct,
apertium:lquot,lexinfo:morphosyntacticProperty,apertium:lquot,,
apertium:lquot,lexinfo:partOfSpeech,lexinfo:punctuation,punct,
apertium:m,lexinfo:gender,lexinfo:masculine,,
apertium:ma,lexinfo:gender,lexinfo:masculine,,
apertium:ma,lexinfo:animacy,lexinfo:animate,,
apertium:Mal,lexinfo:gender,lexinfo:masculine,,
apertium:MAR,lexinfo:morphosyntacticProperty,apertium:MAR,,
apertium:MDNC,lexinfo:morphosyntacticProperty,apertium:MDNC,,
apertium:MEN,lexinfo:morphosyntacticProperty,apertium:MEN,,
apertium:mf,lexinfo:gender,lexinfo:masculine,,
apertium:mf,lexinfo:gender,lexinfo:feminine,,
apertium:mfn,lexinfo:gender,lexinfo:masculine,,
apertium:mfn,lexinfo:gender,lexinfo:feminine,,
apertium:mfn,lexinfo:gender,lexinfo:neuter,,
apertium:mfSG,lexinfo:gender,apertium:mfSG,,
apertium:MG,lexinfo:morphosyntacticProperty,apertium:MG,,
apertium:mi,lexinfo:animacy,lexinfo:inanimate,,
apertium:mi,lexinfo:gender,lexinfo:masculine,,
apertium:midv,lexinfo:voice,lexinfo:middleVoice,,
apertium:mn,lexinfo:gender,lexinfo:masculine,,
