"explicitement"-adverb-fr "eksplicite"-adverb-eo
"trakti"-verb-eo "tâcher"-verb-fr
"traiter"-verb-fr "trakti"-verb-eo
"tâcher"-verb-fr "trakti"-verb-eo
"remettre"-verb-fr "meti"-verb-eo
"meti"-verb-eo "remettre"-verb-fr
"meti"-verb-eo "mettre"-verb-fr
"mettre"-verb-fr "meti"-verb-eo
"submeti"-verb-eo "soumettre"-verb-fr
"soumettre"-verb-fr "submeti"-verb-eo
"vesti"-verb-eo "affubler"-verb-fr
"vesti"-verb-eo "vêtir"-verb-fr
"vesti"-verb-eo "habiller"-verb-fr
"affubler"-verb-fr "vesti"-verb-eo
"vêtir"-verb-fr "vesti"-verb-eo
"habiller"-verb-fr "vesti"-verb-eo
"cesser"-verb-fr "ĉesi"-verb-eo
"ĉesi"-verb-eo "cesser"-verb-fr
"surteriĝi"-verb-eo "atterrir"-verb-fr
"atterrir"-verb-fr "surteriĝi"-verb-eo
"tremper"-verb-fr "trempi"-verb-eo
"trempi"-verb-eo "tremper"-verb-fr
"trempi"-verb-eo "imprégner"-verb-fr
"imprégner"-verb-fr "trempi"-verb-eo
"ŝtopi"-verb-eo "boucher"-verb-fr
"boucher"-verb-fr "ŝtopi"-verb-eo
"donner"-verb-fr "doni"-verb-eo
"doni"-verb-eo "donner"-verb-fr
"krii"-verb-eo "héler"-verb-fr
